"Position","Merk","Naam","Prijs"
1,"Correct, SkinCeuticals","A.G.E. Eye Complex","€98.00"
2,"Correct, SkinCeuticals","A.G.E. Interrupter","€172.00"
3,"Protect, SkinCeuticals, UV Protection","Advanced Brightening UV Defense Sunscreen SPF 50","€47.00"
4,"Esse Skincare, Esse Treatments","Ageless Serum","€192.00"
5,"Correct, SkinCeuticals","AOX Eye Gel","€95.00"
6,"Correct, SkinCeuticals","AOX Lip Repair","€50.00"
7,"The Remedy","At Ease","€21.95"
8,"ScKIN Nutrition","Barrier +","€125.00"
9,"Cleanse & Tone, SkinCeuticals","Blemish + Age Cleanser","€42.00"
10,"Correct, SkinCeuticals","Blemish + Age Defense","€97.00"
11,"Cleanse & Tone, SkinCeuticals","Blemish + Age Toner","€42.00"
12,"Esse Body Care, Esse Skincare","Body Oil","€71.00"
13,"Protect, SkinCeuticals, UV Protection","Brightening UV Defense Sunscreen SPF 30","€41.00"
14,"Brush on Block, UV Protection","Brush on Block – Touch of Tan – Tinted Mineral Sunscreen","€48.95"
15,"Brush on Block, UV Protection","Brush on Block – Translucent – Mineral Sunscreen","€48.95"
16,"Prevent, SkinCeuticals","C E Ferulic","€165.00"
17,"Correct, SkinCeuticals","Clarifying Clay Masque","€70.00"
18,"Esse Masks, Esse Skincare","Clay Mask","€46.00"
19,"The Remedy","Clean & Pure","€21.95"
20,"Esse Exfoliators, Esse Skincare","Cocoa Exfoliator","€41.00"
21,"ScKIN Nutrition","Collagen+ (179 gram)","€65.00"
22,"ScKIN Nutrition","Collagen+ (535 gram)","€167.50"
23,"ScKIN Nutrition","Control+","€92.50"
24,"Esse Cleansers, Esse Skincare","Cream Cleanser 100 ml","€37.00"
25,"Esse Cleansers, Esse Skincare","Cream Cleanser 200 ml","€54.50"
26,"Esse Masks, Esse Skincare","Cream Mask","€65.50"
27,"Moisturize, SkinCeuticals","Daily Moisture","€69.00"
28,"Esse Moisturisers, Esse Skincare","Deep Moisturiser","€62.50"
29,"Esse Moisturisers, Esse Skincare","Defence Moisturiser","€114.00"
30,"The Remedy","Detoxifying","€21.95"
31,"Correct, SkinCeuticals","Discoloration Defense Serum","€100.00"
32,"Esse Skincare, Esse Trial Packs","Dry Skin","€41.00"
33,"Moisturize, SkinCeuticals","Emollience","€69.00"
34,"Cleanse & Tone, SkinCeuticals","Equalizing Toner","€42.00"
35,"Esse Skincare, Esse Treatments","Eye & Lip Cream","€49.00"
36,"Esse Skincare, Esse Treatments","Eye Contour Cream","€130.00"
37,"Esse Skincare, Esse Trial Packs","Festive Set","€68.00"
38,"Esse Foundations, Esse Skincare","Foundation 1","€66.00"
39,"Esse Foundations, Esse Skincare","Foundation 10","€66.00"
40,"Esse Foundations, Esse Skincare","Foundation 2","€66.00"
41,"Esse Foundations, Esse Skincare","Foundation 3","€66.00"
42,"Esse Foundations, Esse Skincare","Foundation 4","€66.00"
43,"Esse Foundations, Esse Skincare","Foundation 5","€66.00"
44,"Esse Foundations, Esse Skincare","Foundation 6","€66.00"
45,"Esse Foundations, Esse Skincare","Foundation 7","€66.00"
46,"Esse Foundations, Esse Skincare","Foundation 8","€66.00"
47,"Esse Foundations, Esse Skincare","Foundation 9","€66.00"
48,"Esse Cleansers, Esse Skincare","Gel Cleanser 100 ml","€33.50"
49,"Esse Cleansers, Esse Skincare","Gel Cleanser 200 ml","€51.00"
50,"Cleanse & Tone, SkinCeuticals","Gentle Cleanser","€42.00"
51,"Correct, SkinCeuticals","Glycolic 10 Renew Overnight","€83.00"
52,"Cleanse & Tone, SkinCeuticals","Glycolic Renewal Cleanser","€42.00"
53,"Correct, SkinCeuticals","H.A. Intensifier","€106.00"
54,"Esse Body Care, Esse Skincare","Hand Cream","€23.50"
55,"Heliocare, UV Protection","Heliocare 360 – Age Active Fluid SPF50","€34.95"
56,"Heliocare, UV Protection","Heliocare 360 – MD A-R Emulsion SPF 50+","€36.50"
57,"Heliocare, UV Protection","Heliocare 360 – Pediatrics Atopic Lotion Spray SPF 50","€34.80"
58,"Heliocare, UV Protection","Heliocare 360 – Pediatrics Mineral SPF50","€29.95"
59,"Heliocare, UV Protection","Heliocare 360 – Pediatrics Transparant Spray SPF 50","€33.50"
60,"Heliocare, UV Protection","Heliocare 360 – Pigment Solution Fluid SPF 50","€32.50"
61,"The Remedy","Hormones","€21.95"
62,"Esse Skincare, Esse Treatments","Hyaluronic Serum 15 ml","€51.00"
63,"Esse Skincare, Esse Treatments","Hyaluronic Serum 30 ml","€91.50"
64,"Moisturize, SkinCeuticals","Hydrating B5","€79.00"
65,"Esse Moisturisers, Esse Skincare","Hydro Moisturiser","€66.00"
66,"Toskani","Imperfection Peel Booster","€40.00"
67,"Esse Skincare, Esse Treatments","Intensity Serum","€150.00"
68,"Esse Moisturisers, Esse Skincare","Light Moisturiser","€57.50"
69,"Esse Skincare, Esse Treatments","Lip Conditioner","€19.50"
70,"Esse Cleansers, Esse Skincare","Make-up Remover","€31.00"
71,"Correct, SkinCeuticals","Metacell Renewal B3","€110.00"
72,"Esse Exfoliators, Esse Skincare","Microderm Exfoliator","€42.50"
73,"Protect, SkinCeuticals, UV Protection","Mineral Radience UV Defense Sunscreen SPF 50","€43.00"
74,"Esse Skincare, Esse Trial Packs","Normal Skin","€36.00"
75,"Esse Moisturisers, Esse Skincare","Nourish Moisturiser","€72.00"
76,"Protect, SkinCeuticals, UV Protection","Oil Shield UV Defense Sunscreen SPF 50","€41.00"
77,"Esse Skincare, Esse Trial Packs","Oily/Combination Skin","€36.00"
78,"Esse Moisturisers, Esse Skincare","Omega Deep Moisturiser","€73.50"
79,"Esse Moisturisers, Esse Skincare","Omega Light Moisturiser","€69.50"
80,"Esse Moisturisers, Esse Skincare","Omega Rich Moisturiser","€83.50"
81,"ScKIN Nutrition","Omega+","€75.00"
82,"ScKIN Nutrition","Omega+ Familypack","€135.00"
83,"Prevent, SkinCeuticals","Phloretin CF","€165.00"
84,"Correct, SkinCeuticals","Phyto A + Brightening Treatment","€91.00"
85,"Correct, SkinCeuticals","Phyto Correctice Masque","€70.00"
86,"Correct, SkinCeuticals","Phyto Corrective","€72.00"
87,"Esse Skincare, Esse Treatments","Probiotic Serum","€124.50"
88,"The Remedy","Proefpakket The Remedy","€10.00"
89,"Esse Skincare, Esse Treatments","Protect Oil","€66.50"
90,"The Remedy","Radiant","€21.95"
91,"Correct, SkinCeuticals","Redness Neutralizer","€83.00"
92,"Esse Cleansers, Esse Skincare","Refining Cleanser","€37.00"
93,"Esse Skincare, Esse Treatments","Repair Oil","€49.00"
94,"Esse Moisturisers, Esse Skincare","Restorative Moisturiser","€135.00"
95,"Esse Skincare, Esse Treatments","Resurrect Serum","€109.00"
96,"Prevent, SkinCeuticals","Resveratrol B E","€160.00"
97,"Correct, SkinCeuticals","Retexturing Activator","€90.00"
98,"Correct, SkinCeuticals","Retinol 0.3","€94.00"
99,"Toskani","Retiseal Peel Booster","€36.00"
100,"Esse Body Care, Esse Skincare","Rich Body Moisturiser 100 ml","€39.00"
101,"Esse Body Care, Esse Skincare","Rich Body Moisturiser 200 ml","€60.00"
102,"Esse Moisturisers, Esse Skincare","Rich Moisturiser","€67.00"
103,"Esse Cleansers, Esse Skincare","Sensitive Cleanser","€57.00"
104,"Esse Skincare, Esse Treatments","Sensitive Eye Cream","€63.00"
105,"Esse Skincare, Esse Toners","Sensitive Mist","€46.50"
106,"Esse Skincare, Esse Treatments","Sensitive Serum","€83.50"
107,"Esse Skincare, Esse Trial Packs","Sensitive Skin","€41.00"
108,"Prevent, SkinCeuticals","Serum 10","€98.00"
109,"Prevent, SkinCeuticals","Silymarin CF","€165.00"
110,"Cleanse & Tone, SkinCeuticals","Simply Clean","€42.00"
111,"Toskani","Soothing Body Peel","€48.00"
112,"Esse Moisturisers, Esse Skincare, UV Protection","Sunscreen – SPF 30","€43.00"
113,"ScKIN Nutrition","Super Greens+","€82.50"
114,"The Remedy","Tea Infuser","€6.95"
115,"The Remedy","The Gut","€21.95"
116,"Esse Skincare, Esse Toners","Toner","€34.00"
117,"Esse Skincare, Esse Toners","Toner Plus","€60.00"
118,"Toskani","Total Recovery Cream","€58.00"
119,"Correct, SkinCeuticals","Tripeptide – R Neck Repair","€125.00"
120,"Correct, SkinCeuticals","Triple Lipid Restore 2:4:2","€143.00"
121,"ScKIN Nutrition","Triple Magnesium +","€55.00"
122,"Protect, SkinCeuticals, UV Protection","Ultra Facial UV Defense Sunscreen SPF 50","€41.00"
123,"Esse Moisturisers, Esse Skincare","Ultra Moisturiser","€70.00"
124,"ScKIN Nutrition","Vitamin B12+","€72.50"
125,"ScKIN Nutrition","Vitamin C+","€62.50"
126,"ScKIN Nutrition","Vitamin D+","€35.00"
127,"The Remedy","Zenergy (Matcha)","€44.95"
